file,lon,lat,x,y,desc
dwd_icon_gridded.png,-20,40,228,374,west of spain atlantic
dwd_icon_gridded.png,0,40,412,440,around spain east coast
dwd_icon_gridded.png,0,50,431,318,north of france around the channel coast
dwd_icon_gridded.png,0,60,451,205,north east of scottland
dwd_icon_gridded.png,20,40,606,440,greece north west
dwd_icon_gridded.png,20,50,584,318,south of poland
dwd_icon_gridded.png,20,60,564,205,east of sweden
dwd_analysis_gridded_small.png,-20,40,625,1028,west of spain atlantic
dwd_analysis_gridded_small.png,0,40,1128,1212,
dwd_analysis_gridded_small.png,0,50,1188,879,
dwd_analysis_gridded_small.png,0,60,1243,564,
dwd_analysis_gridded_small.png,20,40,1664,1211,
dwd_analysis_gridded_small.png,20,50,1603,877,
dwd_analysis_gridded_small.png,20,60,1550,565,
FSXX00T_00.gif,0,45,490,354,
FSXX00T_00.gif,15,45,586,265,
FSXX00T_00.gif,0,60,390,209,
FSXX00T_00.gif,15,60,452,153,
FSXX00T_00.gif,-15,60,315,247,
FSXX00T_00.gif,-15,45,375,412,
FSXX00T_00.gif,0,30,603,514,
FSXX00T_00.gif,15,30,737,391,





